ID	Gene Name	Species	GOTERM_MF_DIRECT
CHD5	chromodomain helicase DNA binding protein 5(CHD5)	Homo sapiens	GO:0003676~nucleic acid binding,GO:0003677~DNA binding,GO:0005524~ATP binding,GO:0008026~ATP-dependent helicase activity,GO:0008270~zinc ion binding,GO:0016818~hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides,GO:0061628~H3K27me3 modified histone binding,
CHGB	chromogranin B(CHGB)	Homo sapiens	GO:0005179~hormone activity,GO:0005515~protein binding,
C16orf89	chromosome 16 open reading frame 89(C16orf89)	Homo sapiens	GO:0042803~protein homodimerization activity,
CLDN14	claudin 14(CLDN14)	Homo sapiens	GO:0005198~structural molecule activity,GO:0042802~identical protein binding,
CLDN16	claudin 16(CLDN16)	Homo sapiens	GO:0005198~structural molecule activity,GO:0005515~protein binding,GO:0015095~magnesium ion transmembrane transporter activity,GO:0042802~identical protein binding,
CLDN19	claudin 19(CLDN19)	Homo sapiens	GO:0005198~structural molecule activity,GO:0042802~identical protein binding,
CLDN8	claudin 8(CLDN8)	Homo sapiens	GO:0005198~structural molecule activity,GO:0005515~protein binding,GO:0042802~identical protein binding,
F11	coagulation factor XI(F11)	Homo sapiens	GO:0004252~serine-type endopeptidase activity,GO:0005515~protein binding,GO:0008201~heparin binding,GO:0070009~serine-type aminopeptidase activity,
CCBE1	collagen and calcium binding EGF domains 1(CCBE1)	Homo sapiens	GO:0002020~protease binding,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0005518~collagen binding,
COL4A6	collagen type IV alpha 6 chain(COL4A6)	Homo sapiens	GO:0005201~extracellular matrix structural constituent,
CR2	complement C3d receptor 2(CR2)	Homo sapiens	GO:0001618~virus receptor activity,GO:0001848~complement binding,GO:0003677~DNA binding,GO:0004875~complement receptor activity,GO:0004888~transmembrane signaling receptor activity,GO:0042803~protein homodimerization activity,
C4BPB	complement component 4 binding protein beta(C4BPB)	Homo sapiens	GO:0005515~protein binding,
CNTN1	contactin 1(CNTN1)	Homo sapiens	GO:0001948~glycoprotein binding,GO:0030246~carbohydrate binding,
CPNE4	copine 4(CPNE4)	Homo sapiens	GO:0005515~protein binding,
CPNE6	copine 6(CPNE6)	Homo sapiens	GO:0001786~phosphatidylserine binding,GO:0005215~transporter activity,GO:0005509~calcium ion binding,GO:0005515~protein binding,
CRHBP	corticotropin releasing hormone binding protein(CRHBP)	Homo sapiens	GO:0005515~protein binding,GO:0042277~peptide binding,GO:0051424~corticotropin-releasing hormone binding,
CRB2	crumbs 2, cell polarity complex component(CRB2)	Homo sapiens	GO:0005509~calcium ion binding,GO:0019828~aspartic-type endopeptidase inhibitor activity,GO:0019899~enzyme binding,
CRYAA	crystallin alpha A(CRYAA)	Homo sapiens	GO:0005212~structural constituent of eye lens,GO:0005515~protein binding,GO:0042802~identical protein binding,GO:0046872~metal ion binding,GO:0051082~unfolded protein binding,
CST1	cystatin SN(CST1)	Homo sapiens	GO:0002020~protease binding,GO:0004869~cysteine-type endopeptidase inhibitor activity,GO:0005515~protein binding,
CYP1A1	cytochrome P450 family 1 subfamily A member 1(CYP1A1)	Homo sapiens	GO:0004497~monooxygenase activity,GO:0005506~iron ion binding,GO:0005515~protein binding,GO:0008395~steroid hydroxylase activity,GO:0016491~oxidoreductase activity,GO:0016679~oxidoreductase activity, acting on diphenols and related substances as donors,GO:0016711~flavonoid 3'-monooxygenase activity,GO:0016712~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen,GO:0019825~oxygen binding,GO:0019899~enzyme binding,GO:0020037~heme binding,GO:0032451~demethylase activity,GO:0070330~aromatase activity,GO:0070576~vitamin D 24-hydroxylase activity,
CYP1A2	cytochrome P450 family 1 subfamily A member 2(CYP1A2)	Homo sapiens	GO:0004497~monooxygenase activity,GO:0005506~iron ion binding,GO:0009055~electron carrier activity,GO:0016491~oxidoreductase activity,GO:0016712~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen,GO:0019825~oxygen binding,GO:0019899~enzyme binding,GO:0020037~heme binding,GO:0032451~demethylase activity,GO:0034875~caffeine oxidase activity,GO:0070330~aromatase activity,
CYP17A1	cytochrome P450 family 17 subfamily A member 1(CYP17A1)	Homo sapiens	GO:0004508~steroid 17-alpha-monooxygenase activity,GO:0005506~iron ion binding,GO:0016829~lyase activity,GO:0019825~oxygen binding,GO:0020037~heme binding,GO:0047442~17-alpha-hydroxyprogesterone aldolase activity,
CYP2B6	cytochrome P450 family 2 subfamily B member 6(CYP2B6)	Homo sapiens	GO:0004497~monooxygenase activity,GO:0005506~iron ion binding,GO:0008392~arachidonic acid epoxygenase activity,GO:0008395~steroid hydroxylase activity,GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,GO:0016712~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen,GO:0019825~oxygen binding,GO:0020037~heme binding,GO:0070330~aromatase activity,
CYP27B1	cytochrome P450 family 27 subfamily B member 1(CYP27B1)	Homo sapiens	GO:0004498~calcidiol 1-monooxygenase activity,GO:0005506~iron ion binding,GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,GO:0020037~heme binding,
CYP4F2	cytochrome P450 family 4 subfamily F member 2(CYP4F2)	Homo sapiens	GO:0004497~monooxygenase activity,GO:0005506~iron ion binding,GO:0005515~protein binding,GO:0008392~arachidonic acid epoxygenase activity,GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,GO:0016709~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen,GO:0018685~alkane 1-monooxygenase activity,GO:0020037~heme binding,GO:0050051~leukotriene-B4 20-monooxygenase activity,GO:0052869~arachidonic acid omega-hydroxylase activity,GO:0052871~alpha-tocopherol omega-hydroxylase activity,GO:0052872~tocotrienol omega-hydroxylase activity,GO:0097258~20-hydroxy-leukotriene B4 omega oxidase activity,GO:0097259~20-aldehyde-leukotriene B4 20-monooxygenase activity,
CLNK	cytokine dependent hematopoietic cell linker(CLNK)	Homo sapiens	GO:0005070~SH3/SH2 adaptor activity,GO:0005515~protein binding,
DEFB1	defensin beta 1(DEFB1)	Homo sapiens	GO:0005515~protein binding,GO:0031731~CCR6 chemokine receptor binding,
DIO1	deiodinase, iodothyronine type I(DIO1)	Homo sapiens	GO:0004800~thyroxine 5'-deiodinase activity,GO:0008430~selenium binding,
DNER	delta/notch like EGF repeat containing(DNER)	Homo sapiens	GO:0004888~transmembrane signaling receptor activity,GO:0005112~Notch binding,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0030276~clathrin binding,
DDN	dendrin(DDN)	Homo sapiens	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000982~transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0005515~protein binding,
DES	desmin(DES)	Homo sapiens	GO:0005198~structural molecule activity,GO:0005200~structural constituent of cytoskeleton,GO:0005515~protein binding,GO:0008092~cytoskeletal protein binding,GO:0042802~identical protein binding,
DPEP1	dipeptidase 1 (renal)(DPEP1)	Homo sapiens	GO:0005515~protein binding,GO:0008235~metalloexopeptidase activity,GO:0008237~metallopeptidase activity,GO:0008239~dipeptidyl-peptidase activity,GO:0008270~zinc ion binding,GO:0016805~dipeptidase activity,GO:0034235~GPI anchor binding,GO:0043027~cysteine-type endopeptidase inhibitor activity involved in apoptotic process,GO:0046872~metal ion binding,GO:0070573~metallodipeptidase activity,GO:0072341~modified amino acid binding,
DPP10	dipeptidyl peptidase like 10(DPP10)	Homo sapiens	GO:0008236~serine-type peptidase activity,GO:0008239~dipeptidyl-peptidase activity,GO:0015459~potassium channel regulator activity,
DPP6	dipeptidyl peptidase like 6(DPP6)	Homo sapiens	GO:0004177~aminopeptidase activity,GO:0008236~serine-type peptidase activity,GO:0008239~dipeptidyl-peptidase activity,GO:0015459~potassium channel regulator activity,
DUSP26	dual specificity phosphatase 26 (putative)(DUSP26)	Homo sapiens	GO:0001102~RNA polymerase II activating transcription factor binding,GO:0002039~p53 binding,GO:0004647~phosphoserine phosphatase activity,GO:0004721~phosphoprotein phosphatase activity,GO:0004725~protein tyrosine phosphatase activity,GO:0005515~protein binding,GO:0008138~protein tyrosine/serine/threonine phosphatase activity,
DUSP9	dual specificity phosphatase 9(DUSP9)	Homo sapiens	GO:0004721~phosphoprotein phosphatase activity,GO:0004725~protein tyrosine phosphatase activity,GO:0005515~protein binding,GO:0008138~protein tyrosine/serine/threonine phosphatase activity,GO:0017017~MAP kinase tyrosine/serine/threonine phosphatase activity,
ENTPD3	ectonucleoside triphosphate diphosphohydrolase 3(ENTPD3)	Homo sapiens	GO:0005515~protein binding,GO:0005524~ATP binding,GO:0016787~hydrolase activity,GO:0017110~nucleoside-diphosphatase activity,GO:0017111~nucleoside-triphosphatase activity,
ENPP6	ectonucleotide pyrophosphatase/phosphodiesterase 6(ENPP6)	Homo sapiens	GO:0008081~phosphoric diester hydrolase activity,GO:0008889~glycerophosphodiester phosphodiesterase activity,GO:0047390~glycerophosphocholine cholinephosphodiesterase activity,
ERP27	endoplasmic reticulum protein 27(ERP27)	Homo sapiens	GO:0003756~protein disulfide isomerase activity,GO:0005515~protein binding,
EGF	epidermal growth factor(EGF)	Homo sapiens	GO:0004713~protein tyrosine kinase activity,GO:0005088~Ras guanyl-nucleotide exchange factor activity,GO:0005154~epidermal growth factor receptor binding,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0008083~growth factor activity,GO:0017147~Wnt-protein binding,GO:0030297~transmembrane receptor protein tyrosine kinase activator activity,GO:0042813~Wnt-activated receptor activity,GO:0046934~phosphatidylinositol-4,5-bisphosphate 3-kinase activity,
ERFE	erythroferrone(ERFE)	Homo sapiens	GO:0005179~hormone activity,GO:0042803~protein homodimerization activity,
ESRRB	estrogen related receptor beta(ESRRB)	Homo sapiens	GO:0000980~RNA polymerase II distal enhancer sequence-specific DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0003707~steroid hormone receptor activity,GO:0003713~transcription coactivator activity,GO:0004879~RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding,GO:0005496~steroid binding,GO:0008134~transcription factor binding,GO:0008270~zinc ion binding,GO:0043565~sequence-specific DNA binding,
EEF1A2	eukaryotic translation elongation factor 1 alpha 2(EEF1A2)	Homo sapiens	GO:0003746~translation elongation factor activity,GO:0003924~GTPase activity,GO:0005515~protein binding,GO:0005525~GTP binding,GO:0008135~translation factor activity, RNA binding,GO:0019901~protein kinase binding,
EVX1	even-skipped homeobox 1(EVX1)	Homo sapiens	GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0043565~sequence-specific DNA binding,
FAM133A	family with sequence similarity 133 member A(FAM133A)	Homo sapiens	GO:0005515~protein binding,
FAM167A	family with sequence similarity 167 member A(FAM167A)	Homo sapiens	GO:0005515~protein binding,
FABP1	fatty acid binding protein 1(FABP1)	Homo sapiens	GO:0003682~chromatin binding,GO:0005215~transporter activity,GO:0005324~long-chain fatty acid transporter activity,GO:0005504~fatty acid binding,GO:0005515~protein binding,GO:0005543~phospholipid binding,GO:0008144~drug binding,GO:0008289~lipid binding,GO:0016209~antioxidant activity,GO:0032052~bile acid binding,
FBN3	fibrillin 3(FBN3)	Homo sapiens	GO:0005201~extracellular matrix structural constituent,GO:0005509~calcium ion binding,
FIBCD1	fibrinogen C domain containing 1(FIBCD1)	Homo sapiens	GO:0005515~protein binding,GO:0008061~chitin binding,GO:0046872~metal ion binding,
FGF1	fibroblast growth factor 1(FGF1)	Homo sapiens	GO:0004713~protein tyrosine kinase activity,GO:0005088~Ras guanyl-nucleotide exchange factor activity,GO:0005104~fibroblast growth factor receptor binding,GO:0005178~integrin binding,GO:0005515~protein binding,GO:0008083~growth factor activity,GO:0008201~heparin binding,GO:0016303~1-phosphatidylinositol-3-kinase activity,GO:0030544~Hsp70 protein binding,GO:0044548~S100 protein binding,GO:0046934~phosphatidylinositol-4,5-bisphosphate 3-kinase activity,
FGF9	fibroblast growth factor 9(FGF9)	Homo sapiens	GO:0004713~protein tyrosine kinase activity,GO:0005088~Ras guanyl-nucleotide exchange factor activity,GO:0005104~fibroblast growth factor receptor binding,GO:0008083~growth factor activity,GO:0008201~heparin binding,GO:0016303~1-phosphatidylinositol-3-kinase activity,GO:0046934~phosphatidylinositol-4,5-bisphosphate 3-kinase activity,
FLRT1	fibronectin leucine rich transmembrane protein 1(FLRT1)	Homo sapiens	GO:0004860~protein kinase inhibitor activity,GO:0005057~receptor signaling protein activity,GO:0005104~fibroblast growth factor receptor binding,GO:0030674~protein binding, bridging,
FOLR3	folate receptor 3(FOLR3)	Homo sapiens	GO:0005542~folic acid binding,
FOXA3	forkhead box A3(FOXA3)	Homo sapiens	GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0008134~transcription factor binding,GO:0019904~protein domain specific binding,GO:0043565~sequence-specific DNA binding,GO:0044212~transcription regulatory region DNA binding,
FOXI1	forkhead box I1(FOXI1)	Homo sapiens	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0008301~DNA binding, bending,GO:0043565~sequence-specific DNA binding,GO:0044212~transcription regulatory region DNA binding,
FOXI2	forkhead box I2(FOXI2)	Homo sapiens	GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0043565~sequence-specific DNA binding,
FOXJ1	forkhead box J1(FOXJ1)	Homo sapiens	GO:0000976~transcription regulatory region sequence-specific DNA binding,GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0005515~protein binding,
FOXN1	forkhead box N1(FOXN1)	Homo sapiens	GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0043565~sequence-specific DNA binding,
FMN2	formin 2(FMN2)	Homo sapiens	GO:0003779~actin binding,
FUT3	fucosyltransferase 3 (Lewis blood group)(FUT3)	Homo sapiens	GO:0008417~fucosyltransferase activity,GO:0017060~3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase activity,GO:0046920~alpha-(1->3)-fucosyltransferase activity,
FUT9	fucosyltransferase 9(FUT9)	Homo sapiens	GO:0008417~fucosyltransferase activity,GO:0017083~4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase activity,GO:0046920~alpha-(1->3)-fucosyltransferase activity,
GAL3ST2	galactose-3-O-sulfotransferase 2(GAL3ST2)	Homo sapiens	GO:0001733~galactosylceramide sulfotransferase activity,GO:0005515~protein binding,GO:0008146~sulfotransferase activity,
GAL3ST3	galactose-3-O-sulfotransferase 3(GAL3ST3)	Homo sapiens	GO:0001733~galactosylceramide sulfotransferase activity,GO:0030246~carbohydrate binding,GO:0050656~3'-phosphoadenosine 5'-phosphosulfate binding,GO:0050694~galactose 3-O-sulfotransferase activity,GO:0050698~proteoglycan sulfotransferase activity,
GLB1L3	galactosidase beta 1 like 3(GLB1L3)	Homo sapiens	GO:0004553~hydrolase activity, hydrolyzing O-glycosyl compounds,GO:0004565~beta-galactosidase activity,
GABRA2	gamma-aminobutyric acid type A receptor alpha2 subunit(GABRA2)	Homo sapiens	GO:0004890~GABA-A receptor activity,GO:0005230~extracellular ligand-gated ion channel activity,GO:0008503~benzodiazepine receptor activity,GO:0022851~GABA-gated chloride ion channel activity,
GABRA4	gamma-aminobutyric acid type A receptor alpha4 subunit(GABRA4)	Homo sapiens	GO:0004890~GABA-A receptor activity,GO:0005230~extracellular ligand-gated ion channel activity,GO:0005254~chloride channel activity,GO:0008503~benzodiazepine receptor activity,
GABRA5	gamma-aminobutyric acid type A receptor alpha5 subunit(GABRA5)	Homo sapiens	GO:0004872~receptor activity,GO:0004890~GABA-A receptor activity,GO:0005215~transporter activity,GO:0005230~extracellular ligand-gated ion channel activity,GO:0005254~chloride channel activity,GO:0050811~GABA receptor binding,
GABRG3	gamma-aminobutyric acid type A receptor gamma3 subunit(GABRG3)	Homo sapiens	GO:0004890~GABA-A receptor activity,GO:0005230~extracellular ligand-gated ion channel activity,GO:0005254~chloride channel activity,
GABRP	gamma-aminobutyric acid type A receptor pi subunit(GABRP)	Homo sapiens	GO:0004890~GABA-A receptor activity,GO:0005230~extracellular ligand-gated ion channel activity,GO:0008068~extracellular-glutamate-gated chloride channel activity,
GJA3	gap junction protein alpha 3(GJA3)	Homo sapiens	GO:0005243~gap junction channel activity,
GJA8	gap junction protein alpha 8(GJA8)	Homo sapiens	GO:0005243~gap junction channel activity,GO:0015267~channel activity,
GDNF	glial cell derived neurotrophic factor(GDNF)	Homo sapiens	GO:0005088~Ras guanyl-nucleotide exchange factor activity,GO:0005102~receptor binding,GO:0005515~protein binding,GO:0008083~growth factor activity,GO:0042803~protein homodimerization activity,
G6PC	glucose-6-phosphatase catalytic subunit(G6PC)	Homo sapiens	GO:0004346~glucose-6-phosphatase activity,GO:0016773~phosphotransferase activity, alcohol group as acceptor,GO:0042301~phosphate ion binding,
GADL1	glutamate decarboxylase like 1(GADL1)	Homo sapiens	GO:0004068~aspartate 1-decarboxylase activity,GO:0004782~sulfinoalanine decarboxylase activity,GO:0016831~carboxy-lyase activity,GO:0030170~pyridoxal phosphate binding,
GRIK5	glutamate ionotropic receptor kainate type subunit 5(GRIK5)	Homo sapiens	GO:0005234~extracellular-glutamate-gated ion channel activity,GO:0015276~ligand-gated ion channel activity,GO:0015277~kainate selective glutamate receptor activity,GO:0017124~SH3 domain binding,GO:0030165~PDZ domain binding,GO:0042802~identical protein binding,
GRM1	glutamate metabotropic receptor 1(GRM1)	Homo sapiens	GO:0004930~G-protein coupled receptor activity,GO:0005515~protein binding,GO:0008066~glutamate receptor activity,
GPAT3	glycerol-3-phosphate acyltransferase 3(GPAT3)	Homo sapiens	GO:0003841~1-acylglycerol-3-phosphate O-acyltransferase activity,GO:0004366~glycerol-3-phosphate O-acyltransferase activity,
CGA	glycoprotein hormones, alpha polypeptide(CGA)	Homo sapiens	GO:0005179~hormone activity,GO:0005515~protein binding,
GPC5	glypican 5(GPC5)	Homo sapiens	GO:0043395~heparan sulfate proteoglycan binding,
GREM1	gremlin 1, DAN family BMP antagonist(GREM1)	Homo sapiens	GO:0005125~cytokine activity,GO:0005515~protein binding,GO:0016015~morphogen activity,GO:0030297~transmembrane receptor protein tyrosine kinase activator activity,GO:0036122~BMP binding,GO:0043184~vascular endothelial growth factor receptor 2 binding,GO:0048018~receptor agonist activity,
GUCA1C	guanylate cyclase activator 1C(GUCA1C)	Homo sapiens	GO:0005509~calcium ion binding,GO:0008048~calcium sensitive guanylate cyclase activator activity,
HP	haptoglobin(HP)	Homo sapiens	GO:0004252~serine-type endopeptidase activity,GO:0005515~protein binding,GO:0016209~antioxidant activity,GO:0030492~hemoglobin binding,
HSPA2	heat shock protein family A (Hsp70) member 2(HSPA2)	Homo sapiens	GO:0005515~protein binding,GO:0005524~ATP binding,GO:0019899~enzyme binding,GO:0051082~unfolded protein binding,GO:0051861~glycolipid binding,
HSPB6	heat shock protein family B (small) member 6(HSPB6)	Homo sapiens	GO:0005212~structural constituent of eye lens,GO:0005515~protein binding,GO:0042803~protein homodimerization activity,
HELT	helt bHLH transcription factor(HELT)	Homo sapiens	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0001078~transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003677~DNA binding,GO:0042803~protein homodimerization activity,
HS6ST2	heparan sulfate 6-O-sulfotransferase 2(HS6ST2)	Homo sapiens	GO:0017095~heparan sulfate 6-O-sulfotransferase activity,
HS3ST5	heparan sulfate-glucosamine 3-sulfotransferase 5(HS3ST5)	Homo sapiens	GO:0005515~protein binding,GO:0008467~[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity,GO:0050656~3'-phosphoadenosine 5'-phosphosulfate binding,
HS3ST6	heparan sulfate-glucosamine 3-sulfotransferase 6(HS3ST6)	Homo sapiens	GO:0008467~[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity,
HRG	histidine rich glycoprotein(HRG)	Homo sapiens	GO:0004867~serine-type endopeptidase inhibitor activity,GO:0004869~cysteine-type endopeptidase inhibitor activity,GO:0005102~receptor binding,GO:0005515~protein binding,GO:0008201~heparin binding,GO:0008270~zinc ion binding,GO:0019865~immunoglobulin binding,GO:0020037~heme binding,GO:0043395~heparan sulfate proteoglycan binding,GO:0046872~metal ion binding,
HIST1H1E	histone cluster 1 H1 family member e(HIST1H1E)	Homo sapiens	GO:0003677~DNA binding,GO:0005515~protein binding,GO:0031490~chromatin DNA binding,GO:0044822~poly(A) RNA binding,
HIST1H4C	histone cluster 1 H4 family member c(HIST1H4C)	Homo sapiens	GO:0003677~DNA binding,GO:0005515~protein binding,GO:0019904~protein domain specific binding,GO:0042393~histone binding,GO:0044822~poly(A) RNA binding,GO:0046982~protein heterodimerization activity,
HOXB9	homeobox B9(HOXB9)	Homo sapiens	GO:0003677~DNA binding,GO:0005515~protein binding,GO:0043565~sequence-specific DNA binding,
HAP1	huntingtin associated protein 1(HAP1)	Homo sapiens	GO:0005515~protein binding,GO:0044325~ion channel binding,GO:0048403~brain-derived neurotrophic factor binding,
HYAL4	hyaluronoglucosaminidase 4(HYAL4)	Homo sapiens	GO:0004415~hyalurononglucosaminidase activity,
HCAR2	hydroxycarboxylic acid receptor 2(HCAR2)	Homo sapiens	GO:0070553~nicotinic acid receptor activity,
HCN2	hyperpolarization activated cyclic nucleotide gated potassium channel 2(HCN2)	Homo sapiens	GO:0005222~intracellular cAMP activated cation channel activity,GO:0005248~voltage-gated sodium channel activity,GO:0005249~voltage-gated potassium channel activity,GO:0030552~cAMP binding,GO:0042802~identical protein binding,
HCRTR2	hypocretin receptor 2(HCRTR2)	Homo sapiens	GO:0008188~neuropeptide receptor activity,GO:0016499~orexin receptor activity,GO:0017046~peptide hormone binding,GO:0042277~peptide binding,
IGFN1	immunoglobulin-like and fibronectin type III domain containing 1(IGFN1)	Homo sapiens	GO:0005515~protein binding,
INPP5J	inositol polyphosphate-5-phosphatase J(INPP5J)	Homo sapiens	GO:0004439~phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity,GO:0004445~inositol-polyphosphate 5-phosphatase activity,GO:0005515~protein binding,GO:0016787~hydrolase activity,GO:0017124~SH3 domain binding,GO:0034485~phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity,GO:0052658~inositol-1,4,5-trisphosphate 5-phosphatase activity,GO:0052659~inositol-1,3,4,5-tetrakisphosphate 5-phosphatase activity,
ITPKA	inositol-trisphosphate 3-kinase A(ITPKA)	Homo sapiens	GO:0004683~calmodulin-dependent protein kinase activity,GO:0005516~calmodulin binding,GO:0005524~ATP binding,GO:0008440~inositol-1,4,5-trisphosphate 3-kinase activity,GO:0048365~Rac GTPase binding,
INSL6	insulin like 6(INSL6)	Homo sapiens	GO:0005179~hormone activity,
IGF2	insulin like growth factor 2(IGF2)	Homo sapiens	GO:0005158~insulin receptor binding,GO:0005159~insulin-like growth factor receptor binding,GO:0005179~hormone activity,GO:0005515~protein binding,GO:0008083~growth factor activity,GO:0030546~receptor activator activity,GO:0043539~protein serine/threonine kinase activator activity,
IGFBPL1	insulin like growth factor binding protein like 1(IGFBPL1)	Homo sapiens	GO:0005520~insulin-like growth factor binding,
INSRR	insulin receptor related receptor(INSRR)	Homo sapiens	GO:0004714~transmembrane receptor protein tyrosine kinase activity,GO:0005524~ATP binding,GO:0043548~phosphatidylinositol 3-kinase binding,GO:0043560~insulin receptor substrate binding,
ITGB6	integrin subunit beta 6(ITGB6)	Homo sapiens	GO:0001618~virus receptor activity,GO:0004872~receptor activity,GO:0005178~integrin binding,GO:0005515~protein binding,
ITLN1	intelectin 1(ITLN1)	Homo sapiens	GO:0030246~carbohydrate binding,
ITLN2	intelectin 2(ITLN2)	Homo sapiens	GO:0030246~carbohydrate binding,
ITIH2	inter-alpha-trypsin inhibitor heavy chain 2(ITIH2)	Homo sapiens	GO:0004866~endopeptidase inhibitor activity,GO:0004867~serine-type endopeptidase inhibitor activity,
IFIT1B	interferon induced protein with tetratricopeptide repeats 1B(IFIT1B)	Homo sapiens	GO:0003723~RNA binding,GO:0005515~protein binding,
IL11	interleukin 11(IL11)	Homo sapiens	GO:0005125~cytokine activity,GO:0005142~interleukin-11 receptor binding,GO:0005515~protein binding,GO:0008083~growth factor activity,
IL6	interleukin 6(IL6)	Homo sapiens	GO:0005125~cytokine activity,GO:0005138~interleukin-6 receptor binding,GO:0005515~protein binding,GO:0008083~growth factor activity,
ISX	intestine specific homeobox(ISX)	Homo sapiens	GO:0001227~transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0043565~sequence-specific DNA binding,
IYD	iodotyrosine deiodinase(IYD)	Homo sapiens	GO:0004447~iodide peroxidase activity,GO:0005515~protein binding,GO:0016491~oxidoreductase activity,
IRX1	iroquois homeobox 1(IRX1)	Homo sapiens	GO:0043565~sequence-specific DNA binding,
IRX2	iroquois homeobox 2(IRX2)	Homo sapiens	GO:0043565~sequence-specific DNA binding,
KLK5	kallikrein related peptidase 5(KLK5)	Homo sapiens	GO:0004252~serine-type endopeptidase activity,GO:0005515~protein binding,GO:0008233~peptidase activity,GO:0008236~serine-type peptidase activity,
KLK6	kallikrein related peptidase 6(KLK6)	Homo sapiens	GO:0004252~serine-type endopeptidase activity,GO:0005515~protein binding,
KLK7	kallikrein related peptidase 7(KLK7)	Homo sapiens	GO:0004222~metalloendopeptidase activity,GO:0004252~serine-type endopeptidase activity,GO:0008233~peptidase activity,GO:0008236~serine-type peptidase activity,
KLHL1	kelch like family member 1(KLHL1)	Homo sapiens	GO:0003779~actin binding,GO:0004842~ubiquitin-protein transferase activity,
KLHL14	kelch like family member 14(KLHL14)	Homo sapiens	GO:0004842~ubiquitin-protein transferase activity,
KLHL3	kelch like family member 3(KLHL3)	Homo sapiens	GO:0003779~actin binding,GO:0004842~ubiquitin-protein transferase activity,GO:0005198~structural molecule activity,GO:0005515~protein binding,
KRT23	keratin 23(KRT23)	Homo sapiens	GO:0005198~structural molecule activity,
KRT40	keratin 40(KRT40)	Homo sapiens	GO:0005198~structural molecule activity,GO:0005515~protein binding,
KLRG2	killer cell lectin like receptor G2(KLRG2)	Homo sapiens	GO:0030246~carbohydrate binding,
KSR2	kinase suppressor of ras 2(KSR2)	Homo sapiens	GO:0004672~protein kinase activity,GO:0004674~protein serine/threonine kinase activity,GO:0005524~ATP binding,GO:0046872~metal ion binding,
KIF1A	kinesin family member 1A(KIF1A)	Homo sapiens	GO:0003774~motor activity,GO:0003777~microtubule motor activity,GO:0005524~ATP binding,GO:0008017~microtubule binding,GO:0016887~ATPase activity,
KNG1	kininogen 1(KNG1)	Homo sapiens	GO:0004869~cysteine-type endopeptidase inhibitor activity,GO:0005102~receptor binding,GO:0005515~protein binding,GO:0008201~heparin binding,GO:0008270~zinc ion binding,
