Category	Term	Count	Percent	Fold	P-value	Bonferroni	FDR	miRNA
Tissue Specificity	Brain	3	0.15	7.40625	6.64e-3	1	0.2249	hsa-mir-129-1,hsa-mir-129-2,hsa-mir-323a
Tissue Specificity	Placenta	1	0.09090909	4.48863636	0.2023	1	1	hsa-mir-184
Tissue Specificity	Heart&amp;amp;Muscle	1	0.08333333	4.11458333	0.2186	1	1	hsa-mir-206
Cluster	hsa-mir-670 cluster	1	0.5	24.6875	0.0401	1	0.7922	hsa-mir-129-2
Cluster	hsa-mir-200c cluster	2	1	49.375	3.93e-4	0.1015	0.0777	hsa-mir-200c,hsa-mir-141
Cluster	hsa-mir-3929 cluster	1	0.5	24.6875	0.0401	1	0.7922	hsa-mir-187
Cluster	hsa-mir-206 cluster	1	0.5	24.6875	0.0401	1	0.7922	hsa-mir-206
Cluster	hsa-mir-379 cluster	2	0.04761905	2.35119048	0.2078	1	1	hsa-mir-323a,hsa-mir-487a
Cluster	hsa-mir-4686 cluster	1	0.5	24.6875	0.0401	1	0.7922	hsa-mir-483
Cluster	hsa-mir-514a-3 cluster	6	0.4	19.75	1.58e-7	4.06e-5	1.87e-4	hsa-mir-514a-3,hsa-mir-514a-2,hsa-mir-514a-1,hsa-mir-514b,hsa-mir-508,hsa-mir-506
Cluster	hsa-mir-875 cluster	1	0.5	24.6875	0.0401	1	0.7922	hsa-mir-599
Cluster	hsa-mir-891a cluster	2	0.28571429	14.10714286	7.76e-3	1	0.2486	hsa-mir-891a,hsa-mir-891b
Transcription Factor	EP300	2	1	49.375	3.93e-4	0.1015	0.0777	hsa-mir-200c,hsa-mir-141
Transcription Factor	KAT2B	2	1	49.375	3.93e-4	0.1015	0.0777	hsa-mir-200c,hsa-mir-141
Transcription Factor	MYC	1	0.025	1.234375	0.565	1	1	hsa-mir-141
Transcription Factor	SIP1	2	0.4	19.75	3.79e-3	0.9778	0.2041	hsa-mir-200c,hsa-mir-141
Transcription Factor	TGFB1	3	0.15	7.40625	6.64e-3	1	0.2249	hsa-mir-205,hsa-mir-200c,hsa-mir-141
Transcription Factor	ZEB1	2	0.14285714	7.05357143	0.0308	1	0.6647	hsa-mir-200c,hsa-mir-141
Transcription Factor	ZEB2	2	0.4	19.75	3.79e-3	0.9778	0.2041	hsa-mir-200c,hsa-mir-141
Transcription Factor	MECP2	1	0.5	24.6875	0.0401	1	0.7922	hsa-mir-184
Transcription Factor	BMP4	2	0.4	19.75	3.79e-3	0.9778	0.2041	hsa-mir-200c,hsa-mir-205
Transcription Factor	GATA3	1	0.33333333	16.45833333	0.0596	1	0.8611	hsa-mir-200c
Transcription Factor	KLF4	2	0.4	19.75	3.79e-3	0.9778	0.2041	hsa-mir-206,hsa-mir-200c
Transcription Factor	SIX1	1	0.33333333	16.45833333	0.0596	1	0.8611	hsa-mir-200c
Transcription Factor	SLUG	1	0.2	9.875	0.0974	1	1	hsa-mir-200c
Transcription Factor	TP53	1	0.05	2.46875	0.3381	1	1	hsa-mir-200c
Transcription Factor	TWIST1	2	0.2	9.875	0.016	1	0.4417	hsa-mir-205,hsa-mir-200c
Transcription Factor	MRF4	1	0.2	9.875	0.0974	1	1	hsa-mir-206
Transcription Factor	MYF5	1	0.2	9.875	0.0974	1	1	hsa-mir-206
Transcription Factor	MYOD	1	0.2	9.875	0.0974	1	1	hsa-mir-206
Transcription Factor	MYOGENIN	1	0.2	9.875	0.0974	1	1	hsa-mir-206
Transcription Factor	TNFSF12	1	0.125	6.171875	0.1514	1	1	hsa-mir-206
Transcription Factor	USF1	1	0.5	24.6875	0.0401	1	0.7922	hsa-mir-483
